Sr. No.,Sector Name,Line Ministry,Implementing Agency,Project Code,Project Name,"Original Cost
(in cr.)","Revised Cost
(in cr.)","Expenditure
(in cr.)","Physical Progress
(in %)","Original
Date of Commissioning","Revised
Date of Commissioning",Sanction Date
1,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],706718,C/o NITB Imphal Airport,499,499,206.61,52,13-07-2024,31-12-2026,01-11-2021
2,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,347,0,189.48,92,13-08-2025,30-06-2026,30-12-2022
3,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",1217,1216.9,1201.92,99,31-05-2026,31-08-2026,04-10-2018
4,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,322,0,214.29,91,01-02-2026,30-06-2026,02-06-2023
5,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,320,0,158.36,82,21-01-2026,30-06-2026,02-06-2023
6,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",266,0,142.62,70,27-01-2026,15-07-2026,10-03-2023
7,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,887,887,538,72,10-03-2026,26-09-2026,21-06-2023
8,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,612,611.8,523.14,87,04-09-2022,31-10-2026,17-06-2020
9,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,480,480,345.45,98,31-03-2026,15-06-2026,01-06-2022
10,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",861,861.37,327.3,53,21-06-2026,30-11-2026,10-10-2023
11,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",480,640,506.13,79,14-09-2021,31-07-2026,27-07-2018
12,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612789,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",485,0,227.5,62,28-09-2025,31-12-2026,07-06-2023
13,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701126,"Development of Dholera International Greenfield Airport , Gujarat",1305,1551,922.78,84,30-06-2026,30-09-2026,14-06-2022
